epoch,CSR_GB_sum_y_exceeding_r_x_max,CSR_MP_count,CSR_MP_std,CSR_MP_sum_y_exceeding_r_x_max,CSR_NM_sum_y_exceeding_r_x_max,CSR_PM_std,CSR_PM_sum_y_exceeding_r_x_max,loss,naive-model-mse,naive-model-non-zero,non_zero_mse,self.CSR_GB_count,self.CSR_NM_count,self.CSR_PM_count,val_loss,val_non_zero_mse
17,9999,9030,261.2105719560290,69.79384935890980,0,963.4701125005820,808.7069213732000,712.84765625,1159.363713588730,3411.2919550709100,2147.431884765630,-1,-1,9030,805.3311157226560,2545.134033203130
18,9999,9030,226.55966148869500,59.03133248098010,0,963.4701125005820,808.7069213732000,668.0921630859380,1164.4499664000100,3427.0761453612200,1993.1456298828100,-1,-1,9030,796.7612915039060,2542.165771484380
19,9999,9030,282.5012888701300,80.83055176115780,0,963.4701125005820,808.7069213732000,671.91259765625,1160.302709982210,3412.795027233430,2007.53515625,-1,-1,9030,726.8604125976560,2218.963134765630
20,9999,9030,278.948868956441,81.60427770923540,0,963.4701125005820,808.7069213732000,670.3124389648440,1178.5560622716700,3503.0661627084300,2005.859130859380,-1,-1,9030,785.3419799804690,2504.542724609380
21,9999,9030,286.64836113839800,80.82407189187810,0,963.4701125005820,808.7069213732000,649.0211791992190,1163.2305909759500,3420.7533316582300,1927.0172119140600,-1,-1,9030,709.1554565429690,2063.599609375
22,9999,9030,275.25600600655300,76.04516614728660,0,963.4701125005820,808.7069213732000,644.263916015625,1162.7727916327500,3417.797213262910,1920.968994140630,-1,-1,9030,685.7047119140630,2031.6551513671900
23,9999,9030,250.50192054685700,66.72335352247470,0,963.4701125005820,808.7069213732000,632.8176879882810,1161.4944808257700,3416.446738916740,1874.073974609380,-1,-1,9030,729.1498413085940,2259.73046875
24,9999,9030,273.7998396020790,78.45719201824860,0,963.4701125005820,808.7069213732000,631.0841064453130,1158.8241336873400,3412.3266826252000,1871.919189453130,-1,-1,9030,765.7363891601560,2422.741455078130
25,9999,9030,320.96063194545500,97.76329422269680,0,963.4701125005820,808.7069213732000,635.24755859375,1163.383671336190,3422.78118808341,1893.3385009765600,-1,-1,9030,727.8091430664060,2122.013671875
26,9999,9030,326.2113963973810,106.21676882197800,0,963.4701125005820,808.7069213732000,618.2858276367190,1161.5817811773600,3418.5334662026000,1839.2415771484400,-1,-1,9030,819.5175170898440,2635.74462890625
27,9999,9030,309.4486177448960,96.17472913868540,0,963.4701125005820,808.7069213732000,614.0548095703130,1160.2913191424500,3415.2410280457000,1823.264404296880,-1,-1,9030,708.8250122070310,2192.138671875
28,9999,9030,322.08585355205600,104.18712923338000,0,963.4701125005820,808.7069213732000,619.2532958984380,1164.7117030961300,3423.1804947256500,1850.0303955078100,-1,-1,9030,738.26220703125,2312.986328125
29,9999,9030,342.95633253486200,106.1969856324250,0,963.4701125005820,808.7069213732000,611.5740356445310,1164.170833182830,3426.5794491916200,1816.0548095703100,-1,-1,9030,693.746826171875,2045.423095703130
30,9999,9030,247.74310992294400,69.16491670159670,0,963.4701125005820,808.7069213732000,748.2661743164060,1162.7020651068000,3417.8838499756500,2250.81787109375,-1,-1,9030,718.2246704101560,2188.245361328130
31,9999,9030,268.6497187083010,78.82894892089590,0,963.4701125005820,808.7069213732000,735.018798828125,1166.2622838434900,3425.9597784328800,2220.75,-1,-1,9030,703.6204833984380,2101.29052734375
