cityname,i_o_length,prediction_horizon,grid_size,time_stamp,MSE_train
london,4,1,55,3835,838.7950231887702
london,4,1,55,3844,1125.3590440151918
london,4,1,55,715,719.7949071349337
london,4,1,55,140,917.946295290696
london,4,1,55,1264,1049.8714277290258
london,4,1,55,7484,185.02862591040483
london,4,1,55,8906,968.112342398574
london,4,1,55,2355,1315.0532905740602
london,4,1,55,1500,807.5846611000262
london,4,1,55,5053,1228.2136922856002
london,4,1,55,4627,1106.693716943456
london,4,1,55,2327,398.0447193125101
london,4,1,55,363,3082.6470754998327
london,4,1,55,6781,924.5423671919265
london,4,1,55,7135,846.0381920359476
london,4,1,55,7907,778.9893624622216
london,4,1,55,3986,820.1410791236799
london,4,1,55,6038,1072.3936924395375
london,4,1,55,3463,1383.6696158177797
london,4,1,55,2720,229.3346051553789
london,4,1,55,8656,1260.2143520419966
london,4,1,55,6958,636.060527812014
london,4,1,55,6326,753.7401235395924
london,4,1,55,3758,1125.412434665981
london,4,1,55,9447,972.9048358224433
london,4,1,55,6066,960.0490450214638
london,4,1,55,5513,122.60590981922944
london,4,1,55,8320,963.199268396566
london,4,1,55,4380,835.3171636413866
london,4,1,55,6834,728.3372816457031
london,4,1,55,8388,801.9390398908788
london,4,1,55,307,1080.702937200636
london,4,1,55,1733,295.8135326876186
london,4,1,55,7130,942.115357024025
london,4,1,55,4805,923.0185638958624
london,4,1,55,2268,1616.8048136376262
london,4,1,55,8194,2963.097159378171
london,4,1,55,1639,370.3789829747687
london,4,1,55,2575,842.3024231331818
london,4,1,55,4233,3588.1540709828223
london,4,1,55,7376,841.9042143379659
london,4,1,55,7036,980.6715464105763
london,4,1,55,8568,1084.991598108887
london,4,1,55,2483,1642.8872506566404
london,4,1,55,8591,1593.2167560679989
london,4,1,55,2585,173.33277686886362
london,4,1,55,4459,1164.0518509843885
london,4,1,55,3441,770.3848435613204
london,4,1,55,5807,785.046426459317
london,4,1,55,1862,1094.3360819816178
london,4,1,55,3401,794.9956427067531
london,4,1,55,3305,871.1826907184754
london,4,1,55,675,1056.1958555600186
london,4,1,55,5339,16.104873668336378
london,4,1,55,447,970.0914113982882
london,4,1,55,7749,355.1440157573488
london,4,1,55,8258,806.1498611551042
london,4,1,55,2406,539.5567975926773
london,4,1,55,3787,260.37914396338596
london,4,1,55,1397,3894.6136033850903
london,4,1,55,8974,1357.3042245580461
london,4,1,55,1926,770.3217565887783
london,4,1,55,5016,1217.234987415822
london,4,1,55,2861,1171.844938912656
london,4,1,55,8657,1073.4400848537189
london,4,1,55,6928,616.9943095696509
london,4,1,55,6498,698.9825060788392
london,4,1,55,3895,1975.8815888577633
london,4,1,55,6783,897.3472749425296
london,4,1,55,1512,693.6962959089989
london,4,1,55,1953,1109.1845722176831
london,4,1,55,6866,823.1271220160168
london,4,1,55,2388,849.7176651931437
london,4,1,55,2989,1069.2460799160363
london,4,1,55,319,1139.7887079800341
london,4,1,55,4807,1036.2289835609124
london,4,1,55,2000,3509.12070875073
london,4,1,55,3740,852.6561395568472
london,4,1,55,5997,1002.7420492806267
london,4,1,55,401,1088.6607805024032
london,4,1,55,1930,955.7751581115152
london,4,1,55,4524,1174.8798464508573
london,4,1,55,3880,158.02038070129285
london,4,1,55,3774,1163.441792280322
london,4,1,55,1567,2847.67165896284
london,4,1,55,1996,2416.4312781560666
london,4,1,55,5305,142.71769883429275
london,4,1,55,8890,1687.5212779551437
london,4,1,55,2193,763.4373795633403
london,4,1,55,1776,926.0077186452331
london,4,1,55,3328,1366.258754564255
london,4,1,55,1002,901.437676187499
london,4,1,55,2427,2453.139110007524
london,4,1,55,4119,968.2076470737827
london,4,1,55,2738,164.9168120736646
london,4,1,55,8053,1236.436743762156
london,4,1,55,6819,388.16695541748226
london,4,1,55,663,916.9264456466819
