cityname,i_o_length,prediction_horizon,grid_size,time_stamp,IC_temp
london,4,1,55,8973,0
london,4,1,55,8890,0
london,4,1,55,252,3282.0
london,4,1,55,1391,0
london,4,1,55,7920,1950.0
london,4,1,55,3020,3687.0
london,4,1,55,8358,4053.0
london,4,1,55,7425,0
london,4,1,55,3161,2731.0
london,4,1,55,2706,49973.0
london,4,1,55,7211,0
london,4,1,55,2566,0
london,4,1,55,3472,6968.0
london,4,1,55,2474,0
london,4,1,55,2776,4650.0
london,4,1,55,355,0
london,4,1,55,6265,0
london,4,1,55,4798,0
london,4,1,55,8082,0
london,4,1,55,555,10122.0
london,4,1,55,4018,11007.0
london,4,1,55,3431,0
london,4,1,55,5313,0
london,4,1,55,7234,5032.0
london,4,1,55,2709,49707.0
london,4,1,55,5566,14643.0
london,4,1,55,5106,0
london,4,1,55,7313,0
london,4,1,55,1233,0
london,4,1,55,7629,0
london,4,1,55,3932,11547.0
london,4,1,55,6161,42597.0
london,4,1,55,1601,1264.0
london,4,1,55,1874,0
london,4,1,55,8867,913.0
london,4,1,55,778,0
london,4,1,55,5651,26220.0
london,4,1,55,6648,0
london,4,1,55,5817,0
london,4,1,55,8091,0
london,4,1,55,2840,0
london,4,1,55,260,0
london,4,1,55,636,9750.0
london,4,1,55,2480,0
london,4,1,55,3166,0
london,4,1,55,7992,0
london,4,1,55,2155,4579.0
london,4,1,55,3114,17284.0
london,4,1,55,2554,0
london,4,1,55,3321,8414.0
london,4,1,55,2970,0
london,4,1,55,2913,1653.0
london,4,1,55,5457,13476.0
london,4,1,55,2183,5451.0
london,4,1,55,8155,0
london,4,1,55,4574,0
london,4,1,55,6641,0
london,4,1,55,6087,0
london,4,1,55,3641,0
london,4,1,55,731,2869.0
london,4,1,55,6953,7932.0
london,4,1,55,3988,0
london,4,1,55,8590,0
london,4,1,55,4899,0
london,4,1,55,7783,0
london,4,1,55,1484,0
london,4,1,55,5378,1836.0
london,4,1,55,8592,0
london,4,1,55,1550,22286.0
london,4,1,55,2635,0
london,4,1,55,8533,0
london,4,1,55,4078,10935.0
london,4,1,55,1476,0
london,4,1,55,5550,0
london,4,1,55,2882,9440.0
london,4,1,55,5677,5278.0
london,4,1,55,6215,14472.0
london,4,1,55,6314,0
london,4,1,55,7702,0
london,4,1,55,7516,5184.0
london,4,1,55,6803,0
london,4,1,55,7299,0
london,4,1,55,3701,0
london,4,1,55,4562,1322.0
london,4,1,55,5891,0
london,4,1,55,487,0
london,4,1,55,8121,4845.0
london,4,1,55,5171,1214.0
london,4,1,55,89,0
london,4,1,55,4673,0
london,4,1,55,2335,0
london,4,1,55,8892,0
london,4,1,55,3447,2815.0
london,4,1,55,8365,0
london,4,1,55,6063,0
london,4,1,55,598,0
london,4,1,55,8795,0
london,4,1,55,2883,0
london,4,1,55,795,0
london,4,1,55,4466,3880.0
london,4,1,55,5240,0
london,4,1,55,7111,0
london,4,1,55,4160,0
london,4,1,55,5093,0
london,4,1,55,8479,17012.0
london,4,1,55,2856,0
london,4,1,55,7416,0
london,4,1,55,7930,0
london,4,1,55,4036,0
london,4,1,55,6336,14508.0
london,4,1,55,2352,3343.0
london,4,1,55,7125,0
london,4,1,55,3184,0
london,4,1,55,4600,0
london,4,1,55,747,0
london,4,1,55,1321,0
london,4,1,55,4860,0
london,4,1,55,2456,0
london,4,1,55,5615,0
london,4,1,55,2885,0
london,4,1,55,6650,0
london,4,1,55,1808,10386.0
london,4,1,55,7772,0
london,4,1,55,959,81710.0
london,4,1,55,5753,0
london,4,1,55,1309,0
london,4,1,55,5833,0
london,4,1,55,6216,14472.0
london,4,1,55,664,0
london,4,1,55,6439,0
london,4,1,55,7297,0
london,4,1,55,5997,0
london,4,1,55,8889,0
london,4,1,55,4052,0
london,4,1,55,6677,27210.0
london,4,1,55,8409,0
london,4,1,55,6716,0
london,4,1,55,1694,0
london,4,1,55,1967,3769.0
london,4,1,55,1959,0
london,4,1,55,6096,0
london,4,1,55,8543,0
london,4,1,55,4418,0
london,4,1,55,550,11960.0
london,4,1,55,2631,0
london,4,1,55,376,0
london,4,1,55,1617,0
london,4,1,55,8883,0
london,4,1,55,1580,0
london,4,1,55,8414,0
london,4,1,55,509,5925.0
london,4,1,55,7568,0
london,4,1,55,7606,5496.0
london,4,1,55,1922,4527.0
london,4,1,55,3734,5262.0
london,4,1,55,7469,0
london,4,1,55,1751,0
london,4,1,55,6713,143146.0
london,4,1,55,4114,0
london,4,1,55,914,2587.0
london,4,1,55,3549,43522.0
london,4,1,55,4521,0
london,4,1,55,7767,0
london,4,1,55,5436,0
london,4,1,55,5259,6229.0
london,4,1,55,2213,0
london,4,1,55,2612,4890.0
london,4,1,55,536,0
london,4,1,55,7169,0
london,4,1,55,5715,19441.0
london,4,1,55,6191,1161.0
london,4,1,55,1661,0
london,4,1,55,3434,0
london,4,1,55,3373,3506.0
london,4,1,55,7123,0
london,4,1,55,4856,6978.0
london,4,1,55,8357,13213.0
london,4,1,55,2694,47898.0
london,4,1,55,3460,0
london,4,1,55,5831,0
london,4,1,55,6335,0
london,4,1,55,5042,0
london,4,1,55,5864,1552.0
london,4,1,55,1458,15931.0
london,4,1,55,8565,0
london,4,1,55,6627,7964.0
london,4,1,55,6504,0
london,4,1,55,748,0
london,4,1,55,5158,0
london,4,1,55,345,0
london,4,1,55,4650,5563.0
london,4,1,55,6391,0
london,4,1,55,9002,0
london,4,1,55,7624,0
london,4,1,55,4258,0
london,4,1,55,8651,26581.0
london,4,1,55,6535,0
london,4,1,55,1274,2654.0
london,4,1,55,565,0
london,4,1,55,8906,0
london,4,1,55,6493,8795.0
london,4,1,55,5408,0
london,4,1,55,8233,0
london,4,1,55,4598,0
london,4,1,55,6595,0
london,4,1,55,7933,0
london,4,1,55,820,0
london,4,1,55,8531,0
london,4,1,55,3744,0
london,4,1,55,8934,0
london,4,1,55,4187,0
london,4,1,55,8490,11862.0
london,4,1,55,1766,0
london,4,1,55,8437,0
london,4,1,55,1536,0
london,4,1,55,3132,2581.0
london,4,1,55,3691,0
london,4,1,55,4729,0
london,4,1,55,6243,14932.0
london,4,1,55,658,50025.0
london,4,1,55,1558,0
london,4,1,55,2404,0
london,4,1,55,4808,0
london,4,1,55,6765,0
london,4,1,55,1339,16021.0
london,4,1,55,225,0
london,4,1,55,2063,4154.0
london,4,1,55,1368,0
london,4,1,55,7619,0
london,4,1,55,1442,6653.0
london,4,1,55,8352,2209.0
london,4,1,55,8222,0
london,4,1,55,6364,0
london,4,1,55,6658,0
london,4,1,55,8184,27603.0
london,4,1,55,3781,0
london,4,1,55,8785,17262.0
london,4,1,55,4243,0
london,4,1,55,3503,17090.0
london,4,1,55,7230,1430.0
london,4,1,55,2339,0
london,4,1,55,7518,0
london,4,1,55,8093,1990.0
london,4,1,55,1987,0
london,4,1,55,1416,0
london,4,1,55,770,0
london,4,1,55,4241,0
london,4,1,55,7305,0
london,4,1,55,6023,1441.0
london,4,1,55,8905,0
london,4,1,55,5847,1211.0
london,4,1,55,4058,0
london,4,1,55,2561,0
london,4,1,55,2622,24142.0
london,4,1,55,6043,0
london,4,1,55,2,0
london,4,1,55,1033,54122.0
london,4,1,55,7468,0
london,4,1,55,6895,0
london,4,1,55,8625,0
london,4,1,55,3803,25312.0
london,4,1,55,841,92592.0
london,4,1,55,6332,18838.0
london,4,1,55,4883,26851.0
london,4,1,55,8757,0
london,4,1,55,8246,0
london,4,1,55,5866,3080.0
london,4,1,55,6159,52518.0
london,4,1,55,3501,8598.0
london,4,1,55,3176,0
london,4,1,55,1790,0
london,4,1,55,2869,0
london,4,1,55,1028,50653.0
london,4,1,55,8190,6076.0
london,4,1,55,8787,12966.0
london,4,1,55,517,6852.0
london,4,1,55,4580,0
london,4,1,55,483,11640.0
london,4,1,55,4182,17092.0
london,4,1,55,4065,0
london,4,1,55,5439,0
london,4,1,55,1721,10240.0
london,4,1,55,7650,0
london,4,1,55,4398,0
london,4,1,55,1815,7023.0
london,4,1,55,6463,0
london,4,1,55,502,23660.0
london,4,1,55,8756,0
london,4,1,55,7942,11376.0
london,4,1,55,1037,0
london,4,1,55,174,0
london,4,1,55,6303,15318.0
london,4,1,55,3770,0
london,4,1,55,6599,0
london,4,1,55,3427,0
london,4,1,55,5477,0
london,4,1,55,4370,0
london,4,1,55,6737,0
london,4,1,55,6302,15318.0
london,4,1,55,1939,3553.0
london,4,1,55,6674,24672.0
london,4,1,55,2737,0
london,4,1,55,135,2458.0
london,4,1,55,8328,0
london,4,1,55,1123,33290.0
london,4,1,55,4404,0
london,4,1,55,136,2458.0
london,4,1,55,2691,0
london,4,1,55,4170,0
london,4,1,55,755,0
london,4,1,55,3005,4932.0
london,4,1,55,2135,0
london,4,1,55,4831,7716.0
london,4,1,55,5425,0
london,4,1,55,7729,0
london,4,1,55,1389,0
london,4,1,55,8788,13023.0
london,4,1,55,6038,0
london,4,1,55,1313,0
london,4,1,55,1053,3596.0
london,4,1,55,8055,51581.0
london,4,1,55,5489,0
london,4,1,55,2422,0
london,4,1,55,2760,2387.0
london,4,1,55,7321,11626.0
london,4,1,55,6077,0
london,4,1,55,2591,0
london,4,1,55,3607,0
london,4,1,55,5687,0
london,4,1,55,3996,10863.0
london,4,1,55,797,0
london,4,1,55,7526,11490.0
london,4,1,55,8837,1307.0
london,4,1,55,5248,0
london,4,1,55,1548,23352.0
london,4,1,55,6529,0
london,4,1,55,4122,26180.0
london,4,1,55,1103,0
london,4,1,55,4459,0
london,4,1,55,2777,6200.0
london,4,1,55,8748,0
london,4,1,55,4495,0
london,4,1,55,4430,51092.0
london,4,1,55,1371,11812.0
london,4,1,55,3117,0
london,4,1,55,4511,53929.0
london,4,1,55,1159,0
london,4,1,55,2624,51392.0
london,4,1,55,8742,0
london,4,1,55,8374,0
london,4,1,55,2146,7244.0
london,4,1,55,5694,0
london,4,1,55,3645,21121.0
london,4,1,55,744,0
london,4,1,55,3436,0
london,4,1,55,1071,11272.0
london,4,1,55,2630,0
london,4,1,55,7953,21199.0
london,4,1,55,454,0
london,4,1,55,2984,0
london,4,1,55,665,2574.0
london,4,1,55,5384,0
london,4,1,55,2958,4692.0
london,4,1,55,8546,0
london,4,1,55,1091,0
london,4,1,55,6166,0
london,4,1,55,6118,4560.0
london,4,1,55,8125,0
london,4,1,55,8734,0
london,4,1,55,7643,0
