cityname,i_o_length,prediction_horizon,grid_size,thresh,cx_sample_whole_data,cx_sample_single_point,CSR_PM_frac,CSR_PM_count,CSR_PM_no_thresh_median,CSR_PM_no_thresh_mean,,
melbourne,1,4,25,1300,800,40,0.25375,203,NULL,NULL,NULL,NULL
melbourne,1,4,25,1500,800,40,0.10875,87,NULL,NULL,NULL,NULL
melbourne,1,4,25,2000,800,40,0.0,0,NULL,NULL,NULL,NULL
melbourne,1,4,25,2500,800,40,0.0,0,NULL,NULL,NULL,NULL
melbourne,1,4,25,3000,800,40,0.0,0,NULL,NULL,NULL,NULL
melbourne,1,4,25,3500,800,40,0.0,0,NULL,NULL,NULL,NULL
melbourne,1,4,35,100,800,40,0.005,4,NULL,NULL,NULL,NULL
melbourne,1,4,35,200,800,40,0.05875,47,NULL,NULL,NULL,NULL
melbourne,1,4,35,400,800,40,0.6625,530,NULL,NULL,NULL,NULL
melbourne,1,4,35,600,800,40,0.82375,659,NULL,NULL,NULL,NULL
melbourne,1,4,35,800,800,40,0.7675,614,NULL,NULL,NULL,NULL
melbourne,1,4,35,1100,800,40,0.51375,411,NULL,NULL,NULL,NULL
melbourne,1,4,35,1300,800,40,0.35,280,NULL,NULL,NULL,NULL
melbourne,1,4,35,1500,800,40,0.17125,137,NULL,NULL,NULL,NULL
melbourne,1,4,35,2000,800,40,0.00125,1,NULL,NULL,NULL,NULL
melbourne,1,4,35,2500,800,40,0.0,0,NULL,NULL,NULL,NULL
melbourne,1,4,35,3000,800,40,0.0,0,NULL,NULL,NULL,NULL
melbourne,1,4,35,3500,800,40,0.0,0,NULL,NULL,NULL,NULL
melbourne,1,4,45,100,800,40,0.00625,5,NULL,NULL,NULL,NULL
melbourne,1,4,45,200,800,40,0.0125,10,NULL,NULL,NULL,NULL
melbourne,1,4,45,400,800,40,0.30875,247,NULL,NULL,NULL,NULL
melbourne,1,4,45,600,800,40,0.7275,582,NULL,NULL,NULL,NULL
melbourne,1,4,45,800,800,40,0.80125,641,NULL,NULL,NULL,NULL
melbourne,1,4,45,1100,800,40,0.55125,441,NULL,NULL,NULL,NULL
melbourne,1,4,45,1300,800,40,0.39125,313,NULL,NULL,NULL,NULL
melbourne,1,4,45,1500,800,40,0.18375,147,NULL,NULL,NULL,NULL
melbourne,1,4,45,2000,800,40,0.00125,1,NULL,NULL,NULL,NULL
melbourne,1,4,45,2500,800,40,0.0,0,NULL,NULL,NULL,NULL
melbourne,1,4,45,3000,800,40,0.0,0,NULL,NULL,NULL,NULL
melbourne,1,4,45,3500,800,40,0.0,0,NULL,NULL,NULL,NULL
melbourne,1,4,55,100,800,40,0.005,4,NULL,NULL,NULL,NULL
melbourne,1,4,55,200,800,40,0.00875,7,NULL,NULL,NULL,NULL
melbourne,1,4,55,400,800,40,0.22125,177,NULL,NULL,NULL,NULL
melbourne,1,4,55,600,800,40,0.70875,567,NULL,NULL,NULL,NULL
melbourne,1,4,55,800,800,40,0.78625,629,NULL,NULL,NULL,NULL
melbourne,1,4,55,1100,800,40,0.5875,470,NULL,NULL,NULL,NULL
melbourne,1,4,55,1300,800,40,0.40625,325,NULL,NULL,NULL,NULL
melbourne,1,4,55,1500,800,40,0.18375,147,NULL,NULL,NULL,NULL
melbourne,1,4,55,2000,800,40,0.00125,1,NULL,NULL,NULL,NULL
melbourne,1,4,55,2500,800,40,0.0,0,NULL,NULL,NULL,NULL
melbourne,1,4,55,3000,800,40,0.0,0,NULL,NULL,NULL,NULL
melbourne,1,4,55,3500,800,40,0.0,0,NULL,NULL,NULL,NULL
