cityname,i_o_length,prediction_horizon,grid_size,thresh,cx_sample_whole_data,cx_sample_single_point,CSR_PM_frac,CSR_PM_count,CSR_PM_no_thresh_median,CSR_PM_no_thresh_mean,CSR_PM_no_thresh_frac_median,CSR_PM_no_thresh_frac_mean
london,1,1,105,500,400,200,NULL,NULL,1396.0,1832.2583333333334,1.008849557522124,1.3171632709448515
london,1,1,125,500,400,200,NULL,NULL,1461.0,1872.8996040841841,1.013241785188818,1.3117290564963213
london,1,1,145,500,400,200,NULL,NULL,1708.0,2075.004504692388,0.9955423476968797,1.2456943338467263
london,1,1,165,500,400,200,NULL,NULL,1690.0,2053.6647750980555,0.9964104098115465,1.2385409402118635
london,1,1,185,500,400,200,NULL,NULL,1652.0,1996.9401666666668,0.9917355371900827,1.236908545343464
london,1,1,205,500,400,200,NULL,NULL,1785.0,2100.336209411863,1.0,1.2184466334161772
london,1,1,225,500,400,200,NULL,NULL,1769.0,2125.9219583333334,1.0132743362831858,1.2760145122999895
london,1,1,245,500,400,200,NULL,NULL,1785.0,2132.806416666667,1.0012129102490548,1.216762839543953
madrid,1,1,45,500,400,200,NULL,NULL,1764.0,2233.4307916666667,1.0,1.1986340314333725
madrid,2,1,45,500,400,200,NULL,NULL,2761.0,2883.336814516129,0.9973362930077692,1.1570782093892544
madrid,3,1,45,500,400,200,NULL,NULL,3297.0,3385.094034010583,0.9925925925925926,1.1480973200189175
madrid,4,1,45,500,400,200,NULL,NULL,3684.0,3701.8117552009694,0.9943100995732574,1.1222396348952126
madrid,5,1,45,500,400,200,NULL,NULL,3982.0,4038.4665347174537,0.9907120743034056,1.1121891941651272
madrid,6,1,45,500,400,200,NULL,NULL,4028.0,4239.748971193416,0.9798371431492474,1.114022215818202
madrid,7,1,45,500,400,200,NULL,NULL,4224.0,4465.906430387922,0.9684436274509803,1.0860056127577171
madrid,8,1,45,500,400,200,NULL,NULL,4324.0,4614.239133947326,0.968952892925829,1.089123088052283
madrid,1,1,45,500,400,200,NULL,NULL,1723.0,2272.5453333333335,0.9891920147649753,1.2144071174523008
madrid,1,2,45,500,400,200,NULL,NULL,2025.0,2440.6599116003667,1.0,1.2483598426581928
madrid,1,3,45,500,400,200,NULL,NULL,2280.0,2573.215362903226,0.9824590527145554,1.2427832418381082
madrid,1,4,45,500,400,200,NULL,NULL,2604.0,2841.8166935483873,0.9990471850657681,1.3285670309516406
madrid,1,5,45,500,400,200,NULL,NULL,2789.0,2888.398643465622,0.9778168240720404,1.3059584208466848
madrid,1,6,45,500,400,200,NULL,NULL,2772.0,2855.4176933952735,0.973202614379085,1.3187497181035843
madrid,1,7,45,500,400,200,NULL,NULL,2920.0,3034.770620644952,0.9670656776721287,1.3258078362060923
madrid,1,8,45,500,400,200,NULL,NULL,3000.0,3216.250303128284,0.9494342519889688,1.3729317075424223
madrid,1,1,5,500,400,200,NULL,NULL,367.0,550.4653655281705,0.9696969696969697,1.2144596372870369
madrid,1,1,25,500,400,200,NULL,NULL,1441.0,1782.8559929935775,0.9957519116397621,1.2640041888767757
madrid,1,1,45,500,400,200,NULL,NULL,1796.0,2331.479375,0.997907949790795,1.218948904412216
madrid,1,1,65,500,400,200,NULL,NULL,2172.0,3497.80325,0.986318407960199,1.3589007293352093
madrid,1,1,85,500,400,200,NULL,NULL,2503.0,4398.956926027854,0.9778610961544036,1.4605218255463703
madrid,1,1,105,500,400,200,NULL,NULL,2728.0,4158.363218966525,0.9952733301987181,1.330779874152911
madrid,1,1,125,500,400,200,NULL,NULL,3163.5,4720.80225,0.9998404849258254,1.3859889838879935
madrid,1,1,145,500,400,200,NULL,NULL,3143.0,4603.246329662997,1.0,1.2917198971630348
madrid,1,1,165,500,400,200,NULL,NULL,3128.0,4504.55375,0.994640763691174,1.2785113631610487
madrid,1,1,185,500,400,200,NULL,NULL,3242.0,4701.213961241925,0.9981267029972752,1.2460512943701618
madrid,1,1,205,500,400,200,NULL,NULL,3132.0,4528.847728220092,0.9956130327576875,1.2822715103945383
madrid,1,1,225,500,400,200,NULL,NULL,3324.0,4770.389125,0.9902676399026764,1.26636791740632
