cityname,i_o_length,prediction_horizon,grid_size,thresh,cx_sample_whole_data,cx_sample_single_point,CSR_PM_frac,CSR_PM_count,CSR_PM_no_thresh_median,CSR_PM_no_thresh_mean,CSR_PM_no_thresh_frac_median,CSR_PM_no_thresh_frac_mean
london,4,4,55,1100,800,40,0.17125,137,NULL,NULL,NULL,NULL
london,4,4,55,1300,800,40,0.39875,319,NULL,NULL,NULL,NULL
london,4,4,55,1500,800,40,0.64375,515,NULL,NULL,NULL,NULL
london,4,4,55,2000,800,40,0.84375,675,NULL,NULL,NULL,NULL
london,4,4,55,2500,800,40,0.92375,739,NULL,NULL,NULL,NULL
london,4,4,55,3000,800,40,0.9225,738,NULL,NULL,NULL,NULL
london,4,4,55,3500,800,40,0.9025,722,NULL,NULL,NULL,NULL
london,4,5,55,100,800,40,0.01,8,NULL,NULL,NULL,NULL
london,4,5,55,200,800,40,0.0075,6,NULL,NULL,NULL,NULL
london,4,5,55,400,800,40,0.0275,22,NULL,NULL,NULL,NULL
london,4,5,55,600,800,40,0.0425,34,NULL,NULL,NULL,NULL
london,4,5,55,800,800,40,0.07,56,NULL,NULL,NULL,NULL
london,4,5,55,1100,800,40,0.19125,153,NULL,NULL,NULL,NULL
london,4,5,55,1300,800,40,0.355,284,NULL,NULL,NULL,NULL
london,4,5,55,1500,800,40,0.66875,535,NULL,NULL,NULL,NULL
london,4,5,55,2000,800,40,0.8725,698,NULL,NULL,NULL,NULL
london,4,5,55,2500,800,40,0.9,720,NULL,NULL,NULL,NULL
london,4,5,55,3000,800,40,0.9225,738,NULL,NULL,NULL,NULL
london,4,5,55,3500,800,40,0.89375,715,NULL,NULL,NULL,NULL
london,4,6,55,100,800,40,0.0075,6,NULL,NULL,NULL,NULL
london,4,6,55,200,800,40,0.00875,7,NULL,NULL,NULL,NULL
london,4,6,55,400,800,40,0.03,24,NULL,NULL,NULL,NULL
london,4,6,55,600,800,40,0.04,32,NULL,NULL,NULL,NULL
london,4,6,55,800,800,40,0.0525,42,NULL,NULL,NULL,NULL
london,4,6,55,1100,800,40,0.13875,111,NULL,NULL,NULL,NULL
